⚠ `eslint` configuration in next.config.ts is no longer supported. See more info here: https://nextjs.org/docs/app/api-reference/cli/next#next-lint-options
⚠ Invalid next.config.ts options detected: 
⚠     Unrecognized key(s) in object: 'eslint'
⚠ See more info here: https://nextjs.org/docs/messages/invalid-next-config
▲ Next.js 16.1.3 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://21.0.9.216:3000
- Environments: .env

✓ Starting...
✓ Ready in 858ms
 GET /api/automation/rules 200 in 13ms (compile: 11ms, render: 2ms)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 3ms, render: 1812µs)
 GET /api/jobs/summary?hours=24 200 in 4ms (compile: 2ms, render: 1765µs)
 GET /api/crm/stats 200 in 7ms (compile: 5ms, render: 1910µs)
 GET /api/applications 200 in 9ms (compile: 8ms, render: 1953µs)
 GET /api/bot/data 200 in 6ms (compile: 3ms, render: 3ms)
 GET /api/telegram/stats 200 in 9ms (compile: 7ms, render: 1774µs)
 GET /api/telegram/users 200 in 3ms (compile: 1525µs, render: 1754µs)
 GET /api/profile 200 in 5ms (compile: 4ms, render: 1558µs)
 GET /api/automation/rules 200 in 7ms (compile: 6ms, render: 1563µs)
 GET /api/jobs/summary?hours=24 200 in 3ms (compile: 1314µs, render: 2ms)
 GET /api/crm/stats 200 in 5ms (compile: 3ms, render: 1727µs)
 GET /api/applications 200 in 3ms (compile: 1712µs, render: 1582µs)
 GET /api/profile 200 in 6ms (compile: 4ms, render: 1751µs)
 GET /api/telegram/activity?limit=30 200 in 9ms (compile: 6ms, render: 2ms)
 GET /api/telegram/users 200 in 11ms (compile: 9ms, render: 1583µs)
 GET /api/automation/rules 200 in 13ms (compile: 12ms, render: 1592µs)
 GET /api/bot/data 200 in 3ms (compile: 1759µs, render: 1683µs)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 1644µs)
 GET /api/crm/stats 200 in 8ms (compile: 6ms, render: 1788µs)
 GET /api/applications 200 in 5ms (compile: 3ms, render: 1809µs)
 GET /api/profile 200 in 4ms (compile: 1970µs, render: 1648µs)
 GET /api/automation/rules 200 in 6ms (compile: 4ms, render: 1584µs)
 GET /api/jobs/summary?hours=24 200 in 8ms (compile: 6ms, render: 1626µs)
 GET /api/telegram/activity?limit=30 200 in 5ms (compile: 4ms, render: 1758µs)
 GET /api/telegram/users 200 in 3ms (compile: 1126µs, render: 1921µs)
 GET /api/applications 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/bot/data 200 in 4ms (compile: 1400µs, render: 3ms)
 GET /api/telegram/stats 200 in 8ms (compile: 6ms, render: 1935µs)
 GET /api/profile 200 in 12ms (compile: 9ms, render: 2ms)
 GET /api/automation/rules 200 in 4ms (compile: 1671µs, render: 3ms)
 GET /api/crm/stats 200 in 5ms (compile: 1852µs, render: 3ms)
 GET /api/jobs/summary?hours=24 200 in 7ms (compile: 5ms, render: 1753µs)
 GET /api/telegram/activity?limit=30 200 in 4ms (compile: 2ms, render: 2ms)
 GET /api/telegram/users 200 in 7ms (compile: 6ms, render: 1677µs)
 GET /api/profile 200 in 7ms (compile: 4ms, render: 2ms)
 GET /api/bot/data 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 1617µs)
 GET /api/automation/rules 200 in 8ms (compile: 7ms, render: 1627µs)
 GET /api/applications 200 in 4ms (compile: 1271µs, render: 3ms)
 GET /api/crm/stats 200 in 7ms (compile: 5ms, render: 2ms)
 GET /api/automation/rules 200 in 3ms (compile: 1396µs, render: 1854µs)
 GET /api/telegram/activity?limit=30 200 in 6ms (compile: 4ms, render: 1912µs)
 GET /api/jobs/summary?hours=24 200 in 8ms (compile: 6ms, render: 1972µs)
 GET /api/bot/data 200 in 4ms (compile: 1749µs, render: 3ms)
 GET /api/telegram/stats 200 in 4ms (compile: 922µs, render: 3ms)
 GET /api/telegram/users 200 in 8ms (compile: 6ms, render: 1932µs)
 GET /api/profile 200 in 6ms (compile: 4ms, render: 2ms)
 GET /api/applications 200 in 6ms (compile: 5ms, render: 1600µs)
 GET /api/jobs/summary?hours=24 200 in 3ms (compile: 947µs, render: 1867µs)
 GET /api/crm/stats 200 in 2ms (compile: 855µs, render: 1606µs)
 GET /api/telegram/users 200 in 4ms (compile: 1487µs, render: 3ms)
 GET /api/bot/data 200 in 3ms (compile: 1681µs, render: 1624µs)
 GET /api/telegram/stats 200 in 6ms (compile: 4ms, render: 2ms)
